id,title,url,source,published_at,clean_text
1,Data centre surge reaches India as American tech giants invest billions,https://economictimes.indiatimes.com/tech/technology/data-centre-surge-reaches-india-as-american-tech-giants-invest-billions/articleshow/126198794.cms,The Economic Times,2025-12-27T02:36:49Z,synopsis tech giants pouring tens billions indian data centres artificial intelligence use explodes microsoft amazon google meta see huge growth fast expanding population despite power water trade worries india wan 5092 chars
2,"Weekly Tech Wrap: Expedition 33 Loses GOTY, Gaming Outage, Xiaomi 17 Ultra Launch, iPhone 18 Rumours",https://www.ndtvprofit.com/technology/weekly-tech-wrap-expedition-33-loses-goty-gaming-outage-xiaomi-17-ultra-iphone-18-rumours,NDTV Profit,2025-12-27T02:18:30Z,week began step-back artificial intelligence wherein clair obscur expedition stripped game year award indie game awards due generative ai use reports surfaced delay samsung galaxy 1931 chars
3,AI-based sys for inspection of trains at Prayagraj Jn soon,https://timesofindia.indiatimes.com/city/allahabad/ai-based-sys-for-inspection-of-trains-at-prayagraj-jn-soon/articleshow/126195004.cms,Times of India,2025-12-26T22:15:00Z,prayagraj artificial intelligence ai based inspection system installed railway yard prayagraj replace manual inspection trains new system screen condition different parts trains real time it 1310 chars
4,Top AI skills for 2026: How professionals can stay ahead in a changing market,https://economictimes.indiatimes.com/jobs/mid-career/top-ai-skills-for-2026-how-professionals-can-stay-ahead-in-a-changing-market/articleshow/126158393.cms,The Economic Times,2025-12-24T10:28:00Z,synopsis artificial intelligence adoption grows across sectors professionals build expertise machine learning generative ai bridge skills gap position future roles ask hiring manager 2025 4306 chars
5,Which stocks could drive the $1 trillion semiconductor milestone? Bank of America’s top bets,https://economictimes.indiatimes.com/news/international/us/which-stocks-could-drive-the-1-trillion-semiconductor-milestone-bank-of-americas-1-trillion-semiconductor-forecast-is-here/articleshow/126162525.cms,The Economic Times,2025-12-24T16:18:00Z,synopsis global semiconductor industry heading analysts believe could powerful growth phase yet artificial intelligence longer niche driver it core engine reshaping chip demand across data centers 7771 chars
6,Alphabet vs. Amazon: Which stock will outperform in 2026?,https://www.fool.com.au/2025/12/23/alphabet-vs-amazon-which-stock-will-outperform-in-2026-usfeed/,The Motley Fool Australia,2025-12-22T23:30:00Z,article originally published fool com figures quoted dollars unless otherwise stated two big three cloud computing companies alphabet nasdaq googl nasdaq goog amazon nasdaq amzn google cloud 3642 chars
7,Tech that will change your life in 2026,https://www.livemint.com/news/tech-that-will-change-your-life-in-2026-11766801791270.html,Livemint,2025-12-27T02:20:11Z,epic internet blackout crippled airline it systems much elon musk doge-ifying government ai infrastructure investments circular dog chasing tail yeah like saw coming least 15320 chars
8,Architecting Resilient Public-Sector Security: The Expanding Technical Footprint of Cybersecurity Engineer Sai Teja Kotagiri,https://techbullion.com/architecting-resilient-public-sector-security-the-expanding-technical-footprint-of-cybersecurity-engineer-sai-teja-kotagiri/,TechBullion,2025-12-26T16:22:48Z,share share share share email need secure high-value digital ecosystems cybersecurity engineers ensure protection government corporate environments cyber threats never greater it today cyber 7087 chars
9,Enrollments surge as professionals race to future-proof careers,https://economictimes.indiatimes.com/industry/services/education/enrollments-surge-as-professionals-race-to-future-proof-careers/articleshow/126192710.cms,The Economic Times,2025-12-26T16:13:00Z,synopsis indian edtech platforms witnessing surge enrollments ai courses professionals actively upskilling areas like agentic ai genai cybersecurity platforms expanding offerings meet demand trend highlig 5002 chars
10,Former Israeli spies now overseeing US government cybersecurity,https://www.activistpost.com/former-israeli-spies-now-overseeing-us-government-cybersecurity/,Activist Post,2025-12-26T15:00:00Z,article originally published panic company deep ties israeli intelligence oversees cyber security across seventy government agencies including department defense homeland security axonius 8365 chars
