id,title,url,source,published_at,content
1,Fabless chip companies eye surveillance market play via edge-AI silicon,https://economictimes.indiatimes.com/tech/technology/fabless-chip-companies-eye-surveillance-market-play-via-edge-ai-silicon/articleshow/126219208.cms,The Economic Times,2025-12-29T00:30:00Z,"Synopsis
Indian startups are designing advanced chips for video surveillance. These chips will process artificial intelligence locally on devices. This focus on edge AI is a first step towards a wider automation vision. Companies like Netrasemi, BigE... [6936 chars]"
2,2025: The Turning Point in India's Technological Self-Determination,https://www.dailyexcelsior.com/2025-the-turning-point-in-indias-technological-self-determination/,Daily Excelsior,2025-12-28T23:25:25Z,"The year 2025 marked a defining inflection point in India’s scientific and technological journey, as the nation emerged with renewed confidence and global stature across frontier domains. It signals a fundamental reorientation in India’s relationship... [9929 chars]"
3,"AI now a contest for global domination, country needs own models: Adani",https://timesofindia.indiatimes.com/city/pune/ai-now-a-contest-for-global-domination-country-needs-own-models-adani/articleshow/126219436.cms,Times of India,2025-12-28T23:13:00Z,"Pune: Industrialist Gautam Adani on Sunday said that AI (artificial intelligence) is no longer just a technology race, it is a contest for global domination, adding, ""If Bharat does not build its own AI models and its own compute infrastructure and i... [2465 chars]"
4,NHS hospitals using AI tool to help predict when A&Es busiest this winter,https://www.mirror.co.uk/news/politics/nhs-hospitals-using-ai-tool-36464093,The Mirror,2025-12-28T22:30:00Z,"An artificial intelligence tool - already used by 50 NHS organisations - works by forecasting how many people are likely to need emergency care and treatment on any given day
Artificial intelligence is being used by NHS hospitals to help predict when... [2203 chars]"
5,NITK uses machine learning to predict landslides in Western Ghats,https://www.thehindu.com/news/national/karnataka/nitk-uses-machine-learning-to-predict-landslides-in-western-ghats/article70446091.ece,The Hindu,2025-12-28T14:26:39Z,"Researchers at the National Institute of Technology Karnataka (NITK), Surathkal, have developed an integrated landslide early warning framework designed specifically for the Western Ghats, one of India’s most landslide-prone regions.
The system, call... [3576 chars]"
6,Indian-origin techie who helped Apple fight terrorism quits to build startup,https://indianexpress.com/article/trending/trending-globally/indian-origin-techie-who-helped-apple-fight-terrorism-quits-to-build-startup-10442954/,The Indian Express,2025-12-28T06:45:13Z,"During her time at Apple, Ramadurgam noticed a gap between the company’s advanced technology and the way compliance processes were handled. Despite Apple’s sophistication, many systems were slow, heavily manual, and required large teams to review ext... [1213 chars]"
7,How you’ll be using AI in 2026: note-taking rings and robotaxis,https://www.thetimes.com/business/technology/article/ai-use-2026-new-technology-robots-28mgrzqgl,The Sunday Times,2025-12-27T12:20:49Z,"And it will be a very big year for hardware. The biggest, perhaps, since 2007, when Steve Jobs strolled on stage and unveiled the iPhone.
Companies such as Sandbar are scrambling to build a new generation of devices that take advantage of the unique ... [12332 chars]"
8,Which stocks could drive the $1 trillion semiconductor milestone? Bank of America’s top bets,https://economictimes.indiatimes.com/news/international/us/which-stocks-could-drive-the-1-trillion-semiconductor-milestone-bank-of-americas-1-trillion-semiconductor-forecast-is-here/articleshow/126162525.cms,The Economic Times,2025-12-24T16:18:00Z,"Synopsis
The global semiconductor industry is heading into what analysts believe could be its most powerful growth phase yet. Artificial intelligence is no longer a niche driver. It is now the core engine reshaping chip demand across data centers, cl... [7771 chars]"
9,Alphabet vs. Amazon: Which stock will outperform in 2026?,https://www.fool.com.au/2025/12/23/alphabet-vs-amazon-which-stock-will-outperform-in-2026-usfeed/,The Motley Fool Australia,2025-12-22T23:30:00Z,"This article was originally published on Fool.com. All figures quoted in US dollars unless otherwise stated.
Two of the big three cloud computing companies are Alphabet (NASDAQ: GOOGL) (NASDAQ: GOOG) and Amazon (NASDAQ: AMZN). While both Google Cloud... [3642 chars]"
10,Sam Altman Says OpenAI Is Hiring A Head Of Preparedness As AI Risks Grow,https://www.benzinga.com/markets/tech/25/12/49601452/sam-altman-says-openai-is-hiring-a-head-of-preparedness-as-ai-risks-grow,Benzinga,2025-12-28T08:24:17Z,"OpenAI CEO Sam Altman said the company is seeking a Head of Preparedness, a role focused on addressing the growing challenges posed by advanced AI models.
Altman Highlights Urgent Need For AI Safety Role
Altman announced the job opening on X, emphasi... [1723 chars]"
